seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,thank you,1.0,0.0,0.0,0.0,13.115164100003312
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,thank you,1.0,0.0,0.0,0.0,6.6755310999869835
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,thank you,1.0,0.0,0.0,0.0,6.193415700006881
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,thank you,0.9615,0.64,0.58,0.0588,7.5338805000064895
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,thank you,1.0,0.0,0.0,0.0,6.0408613000035984
1352_5491_0.03_4.10,여행,4.068087542139571,ライブ配信をしたいなとということで、もう、金曜日の夜なんでね。,ライブ配信をしたいなと思いますということであのもう金曜日の夜なんでね,0.2143,65.02,71.6,0.9032,18.423763400001917
1352_5491_107.00_109.00,여행,2.0,マンペーの声小っちゃいってきたな。,海辺の声ちっちゃいってきたなぁ,0.375,43.92,55.84,0.7097,9.889625199997681
1352_5491_113.00_115.00,여행,2.0,ピンマイクみたいなのを買わなかった？,これビーフマイクみたいなのダメだからな,0.6667,30.92,38.76,0.4865,10.336246699996991
1352_5491_117.00_119.00,여행,2.0,1件しか来てないから多分大丈夫だと思う。,一見しかしてないから多分大丈夫だと思う,0.1579,61.75,75.09,0.8421,10.280091599997832
1352_5491_119.00_121.00,여행,2.0047615183328418,ピンマイクあれ、（なんぼ）/（いくら）するんやろうなあ？,今までになんぼすんねんやろな。,0.7407,8.4,7.55,0.3902,9.849794499998097
8407_40837_0.00_15.28,"음식,요리",15.28,今日はほとんど忘れていなかった、蒸気ガスパッケージを紹介します,thank you.,1.0,0.0,0.0,0.0,11.60395000000426
8407_40837_106.28_108.28,"음식,요리",2.0,おっと、おぶさんありがとう,おっとおぶさんありがとう,0.0,100.0,100.0,1.0,6.121794899998349
8407_40837_108.28_114.28,"음식,요리",6.0,久しぶりの寿司だよ、いつぶり?半年くらい?めっちゃ久しぶり,いや久しぶりの寿司だよいつぶり半年ぐらいめっちゃ久しぶり,0.1786,56.35,72.25,0.8929,20.217537899996387
8407_40837_116.28_119.28,"음식,요리",3.0,ライブ初参戦、日生さん、よいよいよい,ライブ初参戦に精算良い良い,0.5,23.99,32.47,0.5517,10.356339099991601
8407_40837_120.28_122.28,"음식,요리",2.0,トモさんありがとう、一万人,アトモさんありがとう1万人,0.1667,60.13,70.16,0.88,6.4276833000039915
1373_5567_102.40_111.99,"일상,소통",9.585014636599993,で、なんかね、最近、ちょっと、途中で写真とかを挿入できるように、なんか、ソフトを使って配信してるんですよね。,でなんかね最近ちょっと途中で写真とかを挿入できるようになんかソフトを使って配信してるんですよね,0.0,100.0,100.0,1.0,29.191736300010234
1373_5567_111.99_121.85,"일상,소통",9.860005090983364,なので、なんかね、私たちと、皆さん、私たちじゃない、私と皆さんの間に、あの、時差が、10秒とか20秒くらいあるのかな。みたいなんですけど。,なのでなんかね私たちと皆さん私たちじゃない私と皆さんの間にあの時差が10秒とか20秒くらいあるのかなみたいなんですけど,0.0,100.0,100.0,1.0,33.07971720000205
1373_5567_122.00_126.63,"일상,소통",4.625073182999998,ちょっとまあ、それは、あまり気にしないように、ちょっとね、配信していきたいと思います。,ちょっとまあそれはあまり気にしないようにちょっとね配信していきたいと思います,0.0,100.0,100.0,1.0,20.398836400010623
1373_5567_127.20_133.94,"일상,소통",6.735122820099988,よし。で、えーと、ちょっと待ってくださいね。私のチャットが見やすいように、自分のページをスマホで見ますね。,よしで8ちょっと待ってください私のチャットが見やすいように自分のページをスマホでいますね,0.1064,64.11,78.53,0.9231,22.3686025999923
1373_5567_134.90_138.76,"일상,소통",3.8550439098000027,よいしょ。はい。オッケー。これで、見られるようになりました。,はいokこれで見られるようになりました,0.32,51.9,58.97,0.7727,10.068783000009716
7266_28097_0.00_8.64,"패션,뷰티",8.64,こちら、左手の中指も取れちゃって、その数日前にも右手、両方とも今回は中指が取れてしまいました。,こちら左手の中指も取れちゃってその数日前にもね右手何だろうね両方とも今回は中指が取れてしまいました,0.1395,74.81,81.35,0.9348,28.29294050000317
7266_28097_102.40_106.04,"패션,뷰티",3.6400000000000006,その後一緒にご飯とかは行ったりするんですけど、,なんかその後一緒にねご飯とかは行ったりするんですけど,0.1818,71.07,77.09,0.9167,15.05331550000119
7266_28097_106.04_111.56,"패션,뷰티",5.519999999999996,ネイルはちょっと行くときはお休みになっちゃう方が多くて、,なんかねまあネイルはねちょっと行っときやっぱお休みになっちゃう方が多くて,0.4074,51.75,54.52,0.7937,23.243948999996064
7266_28097_111.56_118.04,"패션,뷰티",6.480000000000004,ちょっと施術のお客様が減ってはいるので、,あのちょっと施術のお客様減ってはいるので,0.1579,65.61,80.32,0.9231,16.012665600006585
7266_28097_118.04_124.44,"패션,뷰티",6.3999999999999915,どっかのタイミングで少しだけ募集するかもは考えているので、,ちょっとどっかのタイミングで少しだけ募集するかもはちょっと考えているのでは,0.3214,71.83,70.17,0.8615,21.664683800001512
