seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,ご視聴ありがとうございました,1.0,2.8,2.27,0.1111,14.00102060000063
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,ご視聴ありがとうございました,0.9,2.28,2.43,0.1176,13.259993899991969
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,ご視聴ありがとうございました,0.9643,0.57,1.04,0.0476,13.213432500007912
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,ご視聴ありがとうございました,1.0,1.21,1.43,0.1,13.392328700007056
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,ご視聴ありがとうございました,1.0,6.12,4.44,0.1429,13.230770199996186
1352_5491_0.03_4.10,여행,4.068087542139571,ライブ配信をしたいなとということで、もう、金曜日の夜なんでね。,ライブ配信をしたいなとということであのー金曜日の夜なんでね,0.1071,69.59,83.31,0.9123,13.71109469998919
1352_5491_107.00_109.00,여행,2.0,マンペーの声小っちゃいってきたな。,安平の声ちっちゃいってきたな,0.3125,44.59,55.91,0.7333,13.33667350000178
1352_5491_113.00_115.00,여행,2.0,ピンマイクみたいなのを買わなかった？,これピンマイズみたいな様々な,0.6111,18.54,27.52,0.5625,13.473734600003809
1352_5491_117.00_119.00,여행,2.0,1件しか来てないから多分大丈夫だと思う。,1軒しか来てないから多分大丈夫だと思う,0.0526,75.96,89.8,0.9474,13.62062230000447
1352_5491_119.00_121.00,여행,2.0047615183328418,ピンマイクあれ、（なんぼ）/（いくら）するんやろうなあ？,ピンマイがあれなんぼくんじゃうな,0.5185,14.23,14.14,0.6047,13.510622900008457
8407_40837_0.00_15.28,"음식,요리",15.28,今日はほとんど忘れていなかった、蒸気ガスパッケージを紹介します,4-5mm2-6mm2-6mm2-6mm3-5mm2-5mm3-5mm1-6mm3-5mm3-5mm3-5mm3-5mm3-5mm4-5mm,2.3333,0.0,0.0,0.0,15.72454260000086
8407_40837_106.28_108.28,"음식,요리",2.0,おっと、おぶさんありがとう,ロットオブさんありがとう,0.4167,39.06,51.57,0.5833,13.097374000004493
8407_40837_108.28_114.28,"음식,요리",6.0,久しぶりの寿司だよ、いつぶり?半年くらい?めっちゃ久しぶり,いや久しぶりの寿司だよいつぶり?半年くらいめっちゃ久しぶり,0.1071,72.94,86.96,0.9474,13.836032599996543
8407_40837_116.28_119.28,"음식,요리",3.0,ライブ初参戦、日生さん、よいよいよい,ライブ初参戦、日清さん,0.4375,33.28,38.81,0.6923,13.312360099997022
8407_40837_120.28_122.28,"음식,요리",2.0,トモさんありがとう、一万人,ともさんありがとう1万人,0.25,42.74,57.07,0.75,13.142605400003958
1373_5567_102.40_111.99,"일상,소통",9.585014636599993,で、なんかね、最近、ちょっと、途中で写真とかを挿入できるように、なんか、ソフトを使って配信してるんですよね。,で、なんかね、最近ちょっと途中で写真とかを挿入できるように、なんかソフトを使って配信してるんですよね。,0.0,100.0,100.0,1.0,13.898646800007555
1373_5567_111.99_121.85,"일상,소통",9.860005090983364,なので、なんかね、私たちと、皆さん、私たちじゃない、私と皆さんの間に、あの、時差が、10秒とか20秒くらいあるのかな。みたいなんですけど。,なのでなんかね私たちと皆さん私たちとじゃない私と皆さんの間に時差が10秒とか20秒くらいあるのかなみたいなんですけど,0.0508,75.19,91.16,0.9744,14.002198699992732
1373_5567_122.00_126.63,"일상,소통",4.625073182999998,ちょっとまあ、それは、あまり気にしないように、ちょっとね、配信していきたいと思います。,それはあまり気にしないように配信していきたいと思います,0.2895,56.33,62.41,0.8308,13.56491190000088
1373_5567_127.20_133.94,"일상,소통",6.735122820099988,よし。で、えーと、ちょっと待ってくださいね。私のチャットが見やすいように、自分のページをスマホで見ますね。,よしでちょっと待ってくださいね私のチャットが見やすいように自分のページをスマホで見ますね,0.0638,77.03,90.01,0.967,13.759978999994928
1373_5567_134.90_138.76,"일상,소통",3.8550439098000027,よいしょ。はい。オッケー。これで、見られるようになりました。,OK、これで見られるようになりました。,0.4,51.04,54.36,0.7143,13.772452000004705
7266_28097_0.00_8.64,"패션,뷰티",8.64,こちら、左手の中指も取れちゃって、その数日前にも右手、両方とも今回は中指が取れてしまいました。,こちら、左手の中指も取れちゃって、その数日前にも右手、なんだろうね、両方とも今回は中指が取れてしまいました。,0.1395,77.95,84.1,0.9348,15.73383389999799
7266_28097_102.40_106.04,"패션,뷰티",3.6400000000000006,その後一緒にご飯とかは行ったりするんですけど、,なんかその後一緒にねご飯とかは行ったりするんですけど,0.1818,71.07,77.09,0.9167,15.132883099999162
7266_28097_106.04_111.56,"패션,뷰티",5.519999999999996,ネイルはちょっと行くときはお休みになっちゃう方が多くて、,ネイルは一時お休みになっちゃう方が多くて,0.3333,48.26,56.6,0.766,14.573336500005098
7266_28097_111.56_118.04,"패션,뷰티",6.480000000000004,ちょっと施術のお客様が減ってはいるので、,ちょっと施術のお客様減ってはいるので,0.0526,67.21,85.22,0.973,14.69725159999507
7266_28097_118.04_124.44,"패션,뷰티",6.3999999999999915,どっかのタイミングで少しだけ募集するかもは考えているので、,ちょっとどっかのタイミングで少しだけ募集するかもはちょっと考えているので,0.2857,72.36,72.21,0.875,15.25921410000592
