seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25921_45.76_52.76,게임,normal,False,7.0,찬찬히 찾고 있는 수의사도 돌아와서 응시한다,천천히 찾고 있던 수의사도 돌아와 집중적으로 살펴보고 있어.,28.59,False,0.7190000000409782
7112_25921_52.76_59.76,게임,normal,False,7.0,고양이 배송까지 꽤 마음에 드는 그림이 되었다,고양이 배송 그림까지 정말 마음에 들었어.,23.24,False,0.10899999993853271
7112_25921_78.40_85.02,게임,normal,False,6.61999999999999,덧붙여서 작은 프레쉬는 보이는 소리를 혼자 듣고 있기 때문에,"참고로 작은 프레시는 혼자서 들리는 소리를 듣고 있어서,

(Note: The term ""フレッシュ"" seems out of context without additional information, so it's translated based on potential meaning related to freshness or freshness level in a gaming or product context, as ""프레시"" in Korean can imply something fresh or new. If it has a specific meaning in this context, further clarification might be needed.)",6.65,True,0.7809999999590218
7112_25921_85.66_94.10,게임,normal,False,8.439999999999998,알아보세요 permits 프레쉬부터 읽어보세요.,신선한 걸로 읽어봐줘요.,6.36,False,0.11000000010244548
7112_25921_94.90_101.24,게임,normal,False,6.339999999999989,"붉은기는, 또, 능력이라고 할까 의식이...",빨강은 또 능력이나 의식이 있다는 거지.,13.8,False,0.125
7112_25922_10.00_12.00,게임,normal,False,2.0,아니 몰라도 길이 있어,아니 그래도 길이 있어.,41.64,False,0.06199999991804361
7112_25922_108.00_110.00,게임,normal,False,2.0,장난꾸러기라니 정말 정말 정말로,진짜 장난 아니야,4.05,False,0.0470000000204891
7112_25922_110.00_113.00,게임,normal,False,3.0,밤의 학교는 공포의 정석이지.,밤 학교는 공포 게임의 클래식이지 않나요?,21.81,False,0.125
7112_25922_120.00_121.00,게임,normal,False,1.0,촛불 게이지 같은 거 있어,그런 게이지 표시가 있어,17.22,False,0.06200000015087426
7112_25922_123.00_124.00,게임,normal,False,1.0,잠깐만 촛불이 있어,"잠깐만 기다려, 촛불 있어.",25.21,False,0.09399999980814755
7112_25922_127.00_129.00,게임,normal,False,2.0,이거 헤어지면 끝이야,이 곳 떠나면 끝이야.,21.1,False,0.07800000021234155
7112_25922_135.00_136.00,게임,normal,False,1.0,그럼 촛불 다 내가 맡을 테니까,그럼 로우소크 다 내가 맡을게,30.17,False,0.10999999986961484
