seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25921_45.76_52.76,게임,normal,False,7.0,찬찬히 찾고 있는 수의사도 돌아와서 응시한다,兽의사는 고질的に찾고 있는 동물도 있어서 凝視를 받는다.,12.23,False,0.4850000001024455
7112_25921_52.76_59.76,게임,normal,False,7.0,고양이 배송까지 꽤 마음에 드는 그림이 되었다,고양이 배송되는 동안에도 저는 이 그림을 꽤 좋아했습니다.,18.97,False,0.2339999999385327
7112_25921_78.40_85.02,게임,normal,False,6.61999999999999,덧붙여서 작은 프레쉬는 보이는 소리를 혼자 듣고 있기 때문에,작은 프레시ュ는 혼자 들리는 소리를 듣고 있어요.,21.76,False,0.2029999999795109
7112_25921_85.66_94.10,게임,normal,False,8.439999999999998,알아보세요 permits 프레쉬부터 읽어보세요.,제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용 제발 허용,0.0,False,1.5630000000819564
7112_25921_94.90_101.24,게임,normal,False,6.339999999999989,"붉은기는, 또, 능력이라고 할까 의식이...","또한, 능력이나 의식이 있다는 것은,",16.76,False,0.17100000008940697
7112_25922_10.00_12.00,게임,normal,False,2.0,아니 몰라도 길이 있어,"아니, 모르겠지만, 길이 있어요.",23.02,False,0.15699999989010394
7112_25922_108.00_110.00,게임,normal,False,2.0,장난꾸러기라니 정말 정말 정말로,저 장식은 장식일 뿐이니까 그냥 그렇게 하세요,1.67,False,0.21800000010989606
7112_25922_110.00_113.00,게임,normal,False,3.0,밤의 학교는 공포의 정석이지.,야간 학교는 공포의 전형이죠,33.55,False,0.14099999982863665
7112_25922_120.00_121.00,게임,normal,False,1.0,촛불 게이지 같은 거 있어,로우소쿠게지가 있는 것 같아요,4.72,False,0.1410000000614673
7112_25922_123.00_124.00,게임,normal,False,1.0,잠깐만 촛불이 있어,"잠시 기다리세요, 저에게 몇몇가있어요",5.25,False,0.1869999999180436
