seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25921_45.76_52.76,게임,normal,False,7.0,찬찬히 찾고 있는 수의사도 돌아와서 응시한다,조금 더 신중하게 찾아보던 수의사도 돌아와서 집중적으로 바라보기 시작했다.,28.52,False,1.3129999998491257
7112_25921_52.76_59.76,게임,normal,False,7.0,고양이 배송까지 꽤 마음에 드는 그림이 되었다,고양이까지 배송해 주는 그림이 정말 마음에 들었어.,22.68,False,0.3910000000614673
7112_25921_78.40_85.02,게임,normal,False,6.61999999999999,덧붙여서 작은 프레쉬는 보이는 소리를 혼자 듣고 있기 때문에,"참고로 작은 프레시는 보이는 소리를 혼자서 듣고 있어서,",37.54,False,0.4059999999590218
7112_25921_85.66_94.10,게임,normal,False,8.439999999999998,알아보세요 permits 프레쉬부터 읽어보세요.,와카리가 허락합니다. 프레시에서 읽어보세요.,22.15,False,0.4059999999590218
7112_25921_94.90_101.24,게임,normal,False,6.339999999999989,"붉은기는, 또, 능력이라고 할까 의식이...","빨개진 건, 또 능력이야 뭐 그런 거야,",13.07,False,0.3440000000409782
7112_25922_10.00_12.00,게임,normal,False,2.0,아니 몰라도 길이 있어,"아니, 모르는 거라도 방법은 있어.",16.87,False,0.26500000013038516
7112_25922_108.00_110.00,게임,normal,False,2.0,장난꾸러기라니 정말 정말 정말로,정말로 농담이야.,9.52,False,0.25
7112_25922_110.00_113.00,게임,normal,False,3.0,밤의 학교는 공포의 정석이지.,야간 학교는 호러의 정석이지,27.99,False,0.31299999984912574
7112_25922_120.00_121.00,게임,normal,False,1.0,촛불 게이지 같은 거 있어,蠟燭 게이지 같은 게 있어.,35.63,False,0.2660000000614673
7112_25922_123.00_124.00,게임,normal,False,1.0,잠깐만 촛불이 있어,"잠깐 기다려, 촛불이 있어.",42.38,False,0.29600000008940697
7112_25922_127.00_129.00,게임,normal,False,2.0,이거 헤어지면 끝이야,이걸 떨어뜨리면 끝장이야,10.96,False,0.32899999991059303
7112_25922_135.00_136.00,게임,normal,False,1.0,그럼 촛불 다 내가 맡을 테니까,그럼 촛불은 전부 내가 맡길게.,21.96,False,0.3279999999795109
7112_25922_146.00_148.00,게임,normal,False,2.0,사용설명서에 2권 뺏기지 않은 지금,이제 설명서 두 권이 없어졌네.,6.26,False,0.2970000000204891
7112_25922_152.00_154.00,게임,normal,False,2.0,좀 읽어보고 읽어보고,조금만 읽어줘 읽어줘,8.68,False,0.2649999998975545
7112_25922_156.00_157.00,게임,normal,False,1.0,기다려 매치하고 있다고 나도,기다리다 매치 있어.俺도,9.73,False,0.25
7112_25922_16.00_18.00,게임,normal,False,2.0,아! 샘 형 찼지!,아아! 샘 씨를 찼잖아!,23.15,False,0.28100000019185245
7112_25922_161.00_162.00,게임,normal,False,1.0,불붙은 촛불을 만들다,불이 붙은 촛불을 만든다,43.2,False,0.2970000000204891
7112_25922_163.00_164.00,게임,normal,False,1.0,납땜을 만들 필요가 있다,로우다이를 만들어야 한다,5.04,False,0.21899999980814755
7112_25922_170.00_172.00,게임,normal,False,2.0,숙제와 양초와 성냥을 조합하면 만들 수 있다,숙제와 촛불과 휘장으로 만들 수 있어,19.81,False,0.3279999999795109
7112_25922_175.00_176.00,게임,normal,False,1.0,촛불이 없어지면 불이 꺼진다,蠟燭이 없으면 불이 꺼질 거야,17.68,False,0.32800000021234155
7112_25922_180.00_181.00,게임,normal,False,1.0,불붙은 숙제와 촛불을 조합하면,불이 붙은 숙제와 초를 결합하면,26.34,False,0.31299999984912574
7112_25922_186.00_188.00,게임,normal,False,2.0,불붙은 숙제를 가지고 있는 사람 근처에 있는 사람도,불이 붙은 숙제를 가지고 있는 사람 근처에 있는 사람도,91.84,False,0.375
7112_25922_194.00_195.00,게임,normal,False,1.0,저 3개 가지고 있으니까 이제 그럼,그 3개는 이미 가지고 있으니까 그냥,38.97,False,0.25
7112_25922_198.00_203.00,게임,normal,False,5.0,아 근데 그 레시피 있잖아 지금 구할 수 있는 저 초록색 레시피를 사용해서,"아, 그 레시피 있잖아. 지금 손에 있는 그 녹색 레시피를 써서",32.27,False,0.5620000001508743
7112_25922_2.00_4.00,게임,normal,False,2.0,뭔가 바스락바스락하고,"어떤가, 갈라갈라갈라갈라하는 소리가 들려?",2.08,False,0.40699999989010394
7112_25922_204.00_206.00,게임,normal,False,2.0,저기 우클릭으로 사용해서,어~ 오른쪽 클릭으로 사용해,37.3,False,0.2339999999385327
7112_25922_206.00_208.00,게임,normal,False,2.0,그 세 가지를 조합하면,그 세 가지를 조합하면,100.0,False,0.2190000000409782
7112_25922_208.00_210.00,게임,normal,False,2.0,아 숙제 없어? 숙제 내가 가지고 있구나.,"아, 숙제 가지고 있잖아? 숙제는 내가 가지고 있어.",34.23,False,0.3589999999385327
7112_25922_221.00_222.00,게임,normal,False,1.0,오케이 오케이 오케이 오케이,오케이오케이오케이오케이,85.71,False,0.2660000000614673
7112_25922_222.00_223.00,게임,normal,False,1.0,그럼 촛불도 건네놓을게,그럼 촛불도 줄게요,39.28,False,0.2809999999590218
8407_40837_0.00_15.28,"음식,요리",normal,False,15.28,오늘은 거의 잊지 않았던 증기가스 패키지를 소개하겠습니다.,오늘은 거의 잊지 않았던 증기 가스 패키지를 소개할게요,70.42,False,0.4220000000204891
8407_40837_106.28_108.28,"음식,요리",normal,False,2.0,"이런, 아저씨 고마워요","어, 오브샘 고마워",12.91,False,0.2339999999385327
8407_40837_108.28_114.28,"음식,요리",normal,False,6.0,"오랜만에 초밥이야, 얼마만이야?반년정도? 정말 오랜만이야.","오랜만에 스시야, 언제 만났지? 반년 정도? 진짜 오랜만이야",29.78,False,0.5
8407_40837_116.28_119.28,"음식,요리",normal,False,3.0,"라이브 첫 참전, 닛세이씨, 좋아요이","라이브 첫 참전, 히비코-san, 요이요이요",41.91,True,0.40600000019185245
8407_40837_120.28_122.28,"음식,요리",normal,False,2.0,"토모씨 고마워요, 만명","토모 씨, 고마워요. 만 명",32.32,False,0.2970000000204891
8407_40837_129.28_138.28,"음식,요리",normal,False,9.0,"안녕하세요, 아슈아슈씨","안녕하세요, 아슈아슈 님",79.51,False,0.25
8407_40837_171.28_178.28,"음식,요리",normal,False,7.0,30접시가 초밥이고 10접시가 디저트,"30접이 회로, 10접이 디저트로요.",14.54,False,0.39099999982863665
8407_40837_178.28_181.28,"음식,요리",normal,False,3.0,그래서 왕창 갈 수 있지 않을까 하는 느낌,그래서 한 번은 될 수도 있을 것 같아.,8.87,False,0.2660000000614673
8407_40837_185.28_194.28,"음식,요리",normal,False,9.0,안주 먹고 이제 시작해도 될까,"조금씩 먹어보면, 이제 시작해도 괜찮을까?",32.17,False,0.4059999999590218
8407_40837_212.28_219.28,"음식,요리",normal,False,7.0,"그럼 지금부터 체중 측정부터 시작할게요, 몇 킬로그램 늘어나는지","그럼 이제부터 체중 측정부터 시작할게요, 몇 킬로그램이나 늘었는지 봅시다.",63.99,False,0.6400000001303852
8407_40837_231.28_237.28,"음식,요리",normal,False,6.0,"어, 꺼졌어, 잠깐만, 잠깐만 다시","아, 사라졌어, 기다려 기다려, 한 번 더 해줘",11.71,False,0.39099999982863665
8407_40837_259.28_267.28,"음식,요리",normal,False,8.0,전혀 보이지 않았다. 음.. 몸무게는 54.5 이 옷을 입고 54.5 입니다.,"전혀 보이지 않았어, 음... 체중은 54.5야, 이 옷을 입었을 때 54.5야.",32.53,False,0.6560000001918525
8407_40837_267.28_271.28,"음식,요리",normal,False,4.0,"네, 여러분 기억하세요, 얼마나 늘어날까","네, 여러분은 기억해 두세요, 대략 얼마나 늘어날지.",40.53,False,0.375
8407_40837_285.28_291.28,"음식,요리",normal,False,6.0,"어, 그럼 나도 한번 매일 대식해볼까?","어, 그럼 나도 하루에 한 번씩 대식해보는 건 어때?",37.09,False,0.40699999989010394
8407_40837_297.28_301.28,"음식,요리",normal,False,4.0,정말로 더 크고 싶었다.,진짜로 더 커지고 싶었어,14.6,False,0.2649999998975545
8407_40837_304.28_308.28,"음식,요리",normal,False,4.0,"좋아, 54.5 모두 기억해, 정말","좋아, 54.5야, 모두 기억해 두세요, 진짜로",49.7,False,0.3910000000614673
8407_40837_322.28_325.28,"음식,요리",normal,False,3.0,후테라노테라는 메시라노테라!,"후테라의 테라는, 메시테라의 테라!",23.61,False,0.3589999999385327
8407_40837_325.28_330.28,"음식,요리",normal,False,5.0,그래서 오늘은 초밥 100관을 먹고 가려고 합니다.,그래서 오늘은 회 100貫을 먹어볼 생각입니다.,28.62,False,0.375
8407_40837_330.28_333.28,"음식,요리",normal,False,3.0,그럼 먹고 갑시다,그럼 먹어볼게요,16.57,False,0.23500000010244548
8407_40837_355.28_359.28,"음식,요리",normal,False,4.0,"맞아요, 엄청 작아요.","그렇죠, 진짜 작아요.",25.95,False,0.25
8407_40837_377.28_382.28,"음식,요리",normal,False,5.0,"이 인사, 특별한 의미는 없을까?",이 인사말은 특별한 의미가 있는 건가?,27.08,False,0.3119999999180436
8407_40837_382.28_386.28,"음식,요리",normal,False,4.0,뭔가 선배님이 뭔가 이런 것도 좋네 이런 것도 좋아요.,"어쩐지 선배가, 어쩐지 이런 것도 괜찮지 않겠어みたいな",12.22,False,0.40600000019185245
8407_40837_386.28_389.28,"음식,요리",normal,False,3.0,"그래서 같이 생각했어, 했지, 어떻게 했지?","그리고 함께 생각해서, 했었지, 어떻게 했었지",26.91,False,0.375
8407_40837_398.28_401.28,"음식,요리",normal,False,3.0,총액은 5000엔 정도군요.,"총액은, 5000엔 정도에요",44.27,False,0.31299999984912574
8407_40837_401.28_412.28,"음식,요리",normal,False,11.0,"무슨 소재인지, 그거야, 제일 좋아하는 붕장어부터 정했어.","어떤 농담인지, 그건 말이 필요 없이 내가 가장 좋아하는 게릴라에서 결정했어",15.71,False,0.4839999999385327
8407_40837_430.28_435.28,"음식,요리",normal,False,5.0,요네다는 내일 동영상 올리니까 기대해주세요.,미다라는 내일 영상 올릴 거라서 기대해 주세요,25.09,False,0.375
8407_40837_456.28_460.28,"음식,요리",normal,False,4.0,"오늘은 초밥만 일단, 그래도 일단은..","오늘은 회만 일단, 근데 일단이야",22.94,False,0.2970000000204891
8407_40837_460.28_465.28,"음식,요리",normal,False,5.0,"저기, 만약 다 먹으면 푸딩이 1개 있어요.","어, 만약에 다 먹을 수 있다면 프린이 하나 있어요",15.99,False,0.35900000017136335
8407_40837_470.28_474.28,"음식,요리",normal,False,4.0,"있잖아, 요네다 정말로 기대하고 있어, 굉장히","네, 유다 마저 진짜로 기대하고 있어, 진짜로",34.84,False,0.35999999986961484
8407_40837_482.28_487.28,"음식,요리",normal,False,5.0,육상에서 장거리 1500 이런거 하고 있을까?,육상에서 1500미터 같은 장거리 경기를 해봤나?,22.71,False,0.39000000013038516
