seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25921_45.76_52.76,게임,normal,False,7.0,찬찬히 찾고 있는 수의사도 돌아와서 응시한다,지금이라도 꼼꼼히 찾는 약사에게도 시선이 집중된다,5.14,False,0.7339999999385327
7112_25921_52.76_59.76,게임,normal,False,7.0,고양이 배송까지 꽤 마음에 드는 그림이 되었다,🐱까지 상당히 좋아졌어요,2.2,False,0.0940000000409782
7112_25921_78.40_85.02,게임,normal,False,6.61999999999999,덧붙여서 작은 프레쉬는 보이는 소리를 혼자 듣고 있기 때문에,참고로 작은 프레쉬는 혼자 들려오는 소리를 듣고 있는 것 같아요.,28.92,False,0.25
7112_25921_85.66_94.10,게임,normal,False,8.439999999999998,알아보세요 permits 프레쉬부터 읽어보세요.,프레시스에서 읽어보세요.,24.58,False,0.125
7112_25921_94.90_101.24,게임,normal,False,6.339999999999989,"붉은기는, 또, 능력이라고 할까 의식이...",붉음은 또 능력或者说意识方面，,5.86,False,0.125
7112_25922_10.00_12.00,게임,normal,False,2.0,아니 몰라도 길이 있어,알지만 길은 있잖아,4.26,False,0.0779999999795109
7112_25922_108.00_110.00,게임,normal,False,2.0,장난꾸러기라니 정말 정말 정말로,Ử게 나가네 진짜ALLY真的这样啊,0.0,True,0.125
7112_25922_110.00_113.00,게임,normal,False,3.0,밤의 학교는 공포의 정석이지.,NIGHT SCHOOL은 호러의 정상이다 요네,3.49,True,0.125
7112_25922_120.00_121.00,게임,normal,False,1.0,촛불 게이지 같은 거 있어,등불 게이지 같은 게 있나요,41.26,False,0.125
7112_25922_123.00_124.00,게임,normal,False,1.0,잠깐만 촛불이 있어,잠깐 기다려 촛불이 있어요,35.21,False,0.125
7112_25922_127.00_129.00,게임,normal,False,2.0,이거 헤어지면 끝이야,이렇게 떨어져버리면 끝이야,21.59,False,0.1720000000204891
7112_25922_135.00_136.00,게임,normal,False,1.0,그럼 촛불 다 내가 맡을 테니까,그럼 와이셔트는 다 내가 맡는다,23.56,False,0.1410000000614673
7112_25922_146.00_148.00,게임,normal,False,2.0,사용설명서에 2권 뺏기지 않은 지금,2권이 설명서에 없어진 지금,17.33,False,0.10899999993853271
7112_25922_152.00_154.00,게임,normal,False,2.0,좀 읽어보고 읽어보고,약간 읽어드려요 읽어드려요,8.12,False,0.1559999999590218
7112_25922_156.00_157.00,게임,normal,False,1.0,기다려 매치하고 있다고 나도,참고에 매치가 있단다.,6.57,False,0.11000000010244548
7112_25922_16.00_18.00,게임,normal,False,2.0,아! 샘 형 찼지!,아! 삼sı님 발을ICKICKICK쳤잖아!,15.44,True,0.1559999999590218
7112_25922_161.00_162.00,게임,normal,False,1.0,불붙은 촛불을 만들다,горящую蝋燭을 만드는 것,3.89,False,0.125
7112_25922_163.00_164.00,게임,normal,False,1.0,납땜을 만들 필요가 있다,로우대이를 만들有必要真的需要翻译吗？如果是的话，应该是로우대이를 만들有必要的话，就制作一个吧。但根据上下文，更自然的翻译可能是: 로우대이를 만들 필요가 있어 보여요.,21.66,False,0.5150000001303852
7112_25922_170.00_172.00,게임,normal,False,2.0,숙제와 양초와 성냥을 조합하면 만들 수 있다,숙제와 라이트와 매치를 조합하면 만들 수 있다,50.68,False,0.1720000000204891
7112_25922_175.00_176.00,게임,normal,False,1.0,촛불이 없어지면 불이 꺼진다,등이 없으면 불이 꺼진다,40.93,False,0.10999999986961484
7112_25922_180.00_181.00,게임,normal,False,1.0,불붙은 숙제와 촛불을 조합하면,,0.0,False,0.1869999999180436
