seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,ご視聴ありがとうございました,1.0,2.8,2.27,0.1111,0.17099999997299165
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,ご視聴ありがとうございました,0.9,2.28,2.43,0.1176,0.09299999999348074
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,ご視聴ありがとうございました,0.9643,0.57,1.04,0.0476,0.0940000000409782
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,ご視聴ありがとうございました,1.0,1.21,1.43,0.1,0.0940000000409782
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,ご視聴ありがとうございました,1.0,6.12,4.44,0.1429,0.0940000000409782
7112_25922_10.00_12.00,게임,2.0,いや分かんないでも道あるよ,いやわかんないでも道あるよ,0.0769,63.93,79.11,0.9231,0.10899999993853271
7112_25922_108.00_110.00,게임,2.0,ふざけんなってマジでほんとに,いざけんなって,0.5714,28.14,29.77,0.5714,0.26599999994505197
7112_25922_110.00_113.00,게임,3.0,夜の学校はホラーの定番だよね,本当に夜の学校はホラーの,0.5714,49.32,60.13,0.6923,0.10900000005494803
7112_25922_120.00_121.00,게임,1.0,ロウソクゲージみたいなのある,ロウスクキウチみたいなの,0.4286,21.95,31.91,0.6154,0.10999999998603016
7112_25922_123.00_124.00,게임,1.0,ちょっと待ってロウソクがあるの,ロウソクがある,0.5333,34.27,31.89,0.6364,0.0940000000409782
7112_25922_127.00_129.00,게임,2.0,これ離ればられになったら終わりよ,これ離れ離れだったら終わりよ,0.25,39.21,54.6,0.8,0.10999999998603016
7112_25922_135.00_136.00,게임,1.0,じゃあロウソク全部俺が預かるから,早速全部俺が預かる,0.5625,30.82,33.35,0.56,0.09299999999348074
7112_25922_146.00_148.00,게임,2.0,取扱説明書に2冊取られなかった今,取扱説明書2冊,0.5625,19.96,19.55,0.6087,0.09299999999348074
7112_25922_152.00_154.00,게임,2.0,ちょっと読み上げて読み上げて,ちょっと、呼び上げていい?,0.5,18.06,25.95,0.5385,0.10999999998603016
7112_25922_156.00_157.00,게임,1.0,待ってマッチいるって俺も,ちょっとマッチいるって俺も,0.25,57.68,66.52,0.8,0.10999999998603016
7112_25922_16.00_18.00,게임,2.0,あー!サムさん蹴ったでしょ!,ああ!サムサムケッタイシュ!,0.6429,13.68,12.01,0.3571,0.10900000005494803
7112_25922_161.00_162.00,게임,1.0,火のついたロウソクを作る,ついたロースコート,0.6667,13.88,21.39,0.381,0.09299999999348074
7112_25922_163.00_164.00,게임,1.0,ロウダイを作る必要がある,作る必要がある,0.4167,43.83,48.95,0.7368,0.09299999999348074
7112_25922_170.00_172.00,게임,2.0,宿題とロウソクとマッチを組み合わせたら作れる,食材とろうそくとマッチを組み合わせた,0.4545,39.24,46.9,0.6,0.125
7112_25922_175.00_176.00,게임,1.0,ロウソクがなくなれば火が消える,ロウソクがなくなれば火が,0.2,68.08,77.88,0.8889,0.09399999992456287
7112_25922_180.00_181.00,게임,1.0,火のついた宿題とロウソクを組み合わせたら,気のついた食材との,0.75,9.34,9.3,0.3448,0.10999999998603016
7112_25922_186.00_188.00,게임,2.0,火のついた宿題を持っている人の近くにいる人も,火のついた宿題を持っている人の近くに,0.1818,70.93,80.07,0.9,0.10899999993853271
7112_25922_194.00_195.00,게임,1.0,あの3つ持ってるからもうじゃあ,3つ持ってるから,0.4667,41.53,41.69,0.6957,0.09299999999348074
7112_25922_198.00_203.00,게임,5.0,あ、であのレシピあるやん今手に入ってるあの緑のレシピを使って,レシピレシピあるやん今手に入ってる緑のレシピ,0.3448,47.24,56.3,0.7451,0.1410000000614673
7112_25922_2.00_4.00,게임,2.0,なんかガサガサガサガサって,なんかガサガサガサガサーっつって,0.2308,68.39,69.68,0.8966,0.10900000005494803
7112_25922_204.00_206.00,게임,2.0,あのー右クリックで使って,右クリックで使って,0.25,61.75,71.65,0.8571,0.09399999992456287
7112_25922_206.00_208.00,게임,2.0,その3つを組み合わせたら,その3つを,0.5833,27.76,24.66,0.5882,0.0940000000409782
7112_25922_208.00_210.00,게임,2.0,あ、宿題持ってないの?宿題俺が持ってるんだ,組み合わせたらあ、宿題持ってない,0.75,27.95,34.1,0.4571,0.125
7112_25922_221.00_222.00,게임,1.0,オッケーオッケーオッケーオッケー,おけおけおけおけ,1.0,0.0,0.0,0.0,0.1720000000204891
7112_25922_222.00_223.00,게임,1.0,じゃあロウソクも渡しておくわ,え、じゃあどうしても,0.7143,11.46,13.4,0.4348,0.0940000000409782
1352_5491_0.03_4.10,여행,4.068087542139571,ライブ配信をしたいなとということで、もう、金曜日の夜なんでね。,ライブ配信をしたいなとということであのー金曜日の夜なんでね,0.1071,69.59,83.31,0.9123,0.14099999994505197
1352_5491_107.00_109.00,여행,2.0,マンペーの声小っちゃいってきたな。,安平の声ちっちゃいってきたな,0.3125,44.59,55.91,0.7333,0.10999999998603016
1352_5491_113.00_115.00,여행,2.0,ピンマイクみたいなのを買わなかった？,これピンマイズみたいな様なバカ,0.6111,18.31,27.74,0.5455,0.10999999998603016
1352_5491_117.00_119.00,여행,2.0,1件しか来てないから多分大丈夫だと思う。,一軒しか来てないから多分大丈夫だと思う,0.1053,75.21,88.52,0.8947,0.10899999993853271
1352_5491_119.00_121.00,여행,2.0047615183328418,ピンマイクあれ、（なんぼ）/（いくら）するんやろうなあ？,ピンマイがあれなんぼくんじゃうな,0.5185,14.23,14.14,0.6047,0.10999999998603016
1352_5491_121.00_123.00,여행,2.0,4、5千円くらいじゃない？,"4,5千円くらいじゃない?",0.0833,72.71,84.24,0.96,0.10999999998603016
1352_5491_124.99_132.28,여행,7.284133496834002,あっ、信号が青なので渡りたいの。信号が青だから。,ご視聴ありがとうございました,0.9524,3.64,2.58,0.1714,0.10999999998603016
1352_5491_132.27_135.94,여행,3.6667653481756304,渡れます。明るいですね。,明るいですね,0.4,42.14,51.34,0.75,0.10899999993853271
1352_5491_135.94_141.00,여행,5.065358024532827,えーとー、2時間の近く、バンコクは信号が青の時に渡ればね。,2時間の2時間です韓国は信号が青な時に渡れます,0.5385,20.66,31.75,0.5306,0.1410000000614673
1352_5491_139.00_141.00,여행,2.0,バンコクは信号が青の時に渡れば。,青な時に渡れます,0.7333,12.47,15.24,0.4348,0.10999999998603016
