seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,ねえ、お前は。,1.0,0.0,0.0,0.0,14.362539699999616
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,ねえ、お前、何してるの？,0.95,1.59,1.84,0.1333,8.998374700007844
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,あ,1.0,0.0,0.0,0.0,130.63410229999863
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,うん。,0.9615,1.57,0.0,0.0714,6.352313099996536
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,うん。,0.9286,2.87,0.12,0.125,5.369783700007247
1352_5491_0.03_4.10,여행,4.068087542139571,ライブ配信をしたいなとということで、もう、金曜日の夜なんでね。,ライブ配信したいな。ということで、あのもう金曜日の夜なんてね。,0.1786,49.1,69.71,0.8929,11.293895700000576
1352_5491_107.00_109.00,여행,2.0,マンペーの声小っちゃいってきたな。,ペの声小っちゃいってきたな。,0.1875,63.65,73.88,0.8966,6.451252200000454
1352_5491_113.00_115.00,여행,2.0,ピンマイクみたいなのを買わなかった？,こういうピンマイクみたいなさあだから。,0.6667,36.12,46.25,0.5556,6.4789659999951255
1352_5491_117.00_119.00,여행,2.0,1件しか来てないから多分大丈夫だと思う。,一軒しか来てないから、多分大丈夫だと思う。,0.1053,75.21,88.52,0.8947,8.787382800001069
1352_5491_119.00_121.00,여행,2.0047615183328418,ピンマイクあれ、（なんぼ）/（いくら）するんやろうなあ？,金毎かあれ何百円やな。,0.8519,3.05,1.82,0.2162,7.4435333000001265
8407_40837_0.00_15.28,"음식,요리",15.28,今日はほとんど忘れていなかった、蒸気ガスパッケージを紹介します,このようにして、,0.9667,1.12,0.29,0.0541,134.77098270000715
8407_40837_106.28_108.28,"음식,요리",2.0,おっと、おぶさんありがとう,ロッドオブさんありがとう。,0.4167,39.06,51.57,0.5833,5.5610430000087945
8407_40837_108.28_114.28,"음식,요리",6.0,久しぶりの寿司だよ、いつぶり?半年くらい?めっちゃ久しぶり,いや久しぶりの差しだよ。いつぶり？半年ぐらい。え、めっちゃ久しぶり。,0.2143,48.6,62.42,0.8276,13.462759300004109
8407_40837_116.28_119.28,"음식,요리",3.0,ライブ初参戦、日生さん、よいよいよい,ライブ初参戦日生さん、よいよい。,0.125,75.07,86.69,0.9333,8.337545499991393
8407_40837_120.28_122.28,"음식,요리",2.0,トモさんありがとう、一万人,あともさんありがとう一万人。,0.25,65.64,73.62,0.8,5.859517000004416
1373_5567_102.40_111.99,"일상,소통",9.585014636599993,で、なんかね、最近、ちょっと、途中で写真とかを挿入できるように、なんか、ソフトを使って配信してるんですよね。,でなんかね最近ちょっと途中で写真とかを挿入できるようになんかソフトを使って配信してるんですよね。,0.0,100.0,100.0,1.0,16.788932399998885
1373_5567_111.99_121.85,"일상,소통",9.860005090983364,なので、なんかね、私たちと、皆さん、私たちじゃない、私と皆さんの間に、あの、時差が、10秒とか20秒くらいあるのかな。みたいなんですけど。,なのでなんかね私たちと皆さん私たちとじゃない私と皆さんの間にあの時差が10秒とか20秒くらいあるのかなみたいなんですけど。,0.0169,81.55,95.67,0.9916,21.162792699993588
1373_5567_122.00_126.63,"일상,소통",4.625073182999998,ちょっとまあ、それは、あまり気にしないように、ちょっとね、配信していきたいと思います。,ちょっとまあそれはあまり気にしないようにちょっとね配信していきたいと思います。,0.0,100.0,100.0,1.0,11.223929800005862
1373_5567_127.20_133.94,"일상,소통",6.735122820099988,よし。で、えーと、ちょっと待ってくださいね。私のチャットが見やすいように、自分のページをスマホで見ますね。,よし、でえっとちょっと待ってくださいね。私のチャットが見やすいように自分のページをスマホで見ますね。,0.0213,79.18,94.41,0.9787,17.497136800011504
1373_5567_134.90_138.76,"일상,소통",3.8550439098000027,よいしょ。はい。オッケー。これで、見られるようになりました。,よいしょ、はい、OK、これで見られるようになりました。,0.16,61.4,76.25,0.875,10.00414119999914
7266_28097_0.00_8.64,"패션,뷰티",8.64,こちら、左手の中指も取れちゃって、その数日前にも右手、両方とも今回は中指が取れてしまいました。,こちらえっと左手の中指も取れちゃって、その数日前にもね右手なんだろうね両方とも今回は中指が取れてしまいました。,0.2326,69.28,71.9,0.8958,21.574586700007785
7266_28097_102.40_106.04,"패션,뷰티",3.6400000000000006,その後一緒にご飯とかは行ったりするんですけど、,なんかその後一緒にねご飯とかは行ったりするんですけど。,0.1818,71.07,77.09,0.9167,9.042628399998648
7266_28097_106.04_111.56,"패션,뷰티",5.519999999999996,ネイルはちょっと行くときはお休みになっちゃう方が多くて、,なんかね、まあネイルはね、ちょっと一時やっぱお休みになっちゃう方が多くて。,0.4444,48.29,52.87,0.7213,14.120951199991396
7266_28097_111.56_118.04,"패션,뷰티",6.480000000000004,ちょっと施術のお客様が減ってはいるので、,あのちょっと手術のお客様減ってはいるので。,0.2105,47.55,65.15,0.8718,10.117398900008993
7266_28097_118.04_124.44,"패션,뷰티",6.3999999999999915,どっかのタイミングで少しだけ募集するかもは考えているので、,ちょっとどっかのタイミングで少しだけ募集するかもはちょっと考えているので。,0.2857,72.36,72.21,0.875,13.354457399997045
