seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25921_45.76_52.76,게임,normal,False,7.0,찬찬히 찾고 있는 수의사도 돌아와서 응시한다,야수의 눈에 맞는 것 같아.,3.64,False,0.6409999998286366
7112_25921_52.76_59.76,게임,normal,False,7.0,고양이 배송까지 꽤 마음에 드는 그림이 되었다,고양이의 배송까지 꽤 마음에 드는 그림이 되었다.,84.27,False,0.1559999999590218
7112_25921_78.40_85.02,게임,normal,False,6.61999999999999,덧붙여서 작은 프레쉬는 보이는 소리를 혼자 듣고 있기 때문에,작은 프레시가 저는 하는 소리를 혼자 듣고 있습니다.,36.5,False,0.1720000000204891
7112_25921_85.66_94.10,게임,normal,False,8.439999999999998,알아보세요 permits 프레쉬부터 읽어보세요.,"[TEXT TO TRANSLATE]

Let's translate this as a natural continuation of the previous sentence.",4.25,True,0.1880000000819564
7112_25921_94.90_101.24,게임,normal,False,6.339999999999989,"붉은기는, 또, 능력이라고 할까 의식이...","적미는 또, 능력이라고나 할까 인식이,",32.87,False,0.1559999999590218
7112_25922_10.00_12.00,게임,normal,False,2.0,아니 몰라도 길이 있어,아무튼 길이 있어요,21.04,False,0.0779999999795109
7112_25922_108.00_110.00,게임,normal,False,2.0,장난꾸러기라니 정말 정말 정말로,이거 진짜로 하는 거야,0.96,False,0.0779999999795109
7112_25922_110.00_113.00,게임,normal,False,3.0,밤의 학교는 공포의 정석이지.,야의 학교는 호러의 정番이야.,20.38,False,0.125
7112_25922_120.00_121.00,게임,normal,False,1.0,촛불 게이지 같은 거 있어,화상측정기 같은 것들이 있습니다.,8.35,False,0.10900000017136335
7112_25922_123.00_124.00,게임,normal,False,1.0,잠깐만 촛불이 있어,조금 기다려 로우소크가 있는 거야,1.36,False,0.10999999986961484
7112_25922_127.00_129.00,게임,normal,False,2.0,이거 헤어지면 끝이야,이거 끝나면 끝이야,29.12,False,0.0779999999795109
7112_25922_135.00_136.00,게임,normal,False,1.0,그럼 촛불 다 내가 맡을 테니까,그럼 로우소크 전부 저가 맡겠습니다.,10.09,False,0.1410000000614673
7112_25922_146.00_148.00,게임,normal,False,2.0,사용설명서에 2권 뺏기지 않은 지금,"[TEXT TO TRANSLATE]

이제는 설명서가 2권도 없는 상태에요.

(Note: The translation is written entirely in Hangul, with no English words or phrases.)",3.76,True,0.3589999999385327
7112_25922_152.00_154.00,게임,normal,False,2.0,좀 읽어보고 읽어보고,조금 읽어보세요.,9.3,False,0.0940000000409782
7112_25922_156.00_157.00,게임,normal,False,1.0,기다려 매치하고 있다고 나도,나도 가질 수 있잖아,7.74,False,0.09300000010989606
7112_25922_16.00_18.00,게임,normal,False,2.0,아! 샘 형 찼지!,아하! 사무샌 차꼬았겠지!,12.64,False,0.125
7112_25922_161.00_162.00,게임,normal,False,1.0,불붙은 촛불을 만들다,화의 꽂힌 로우소크를 만들어요.,3.89,False,0.14099999982863665
7112_25922_163.00_164.00,게임,normal,False,1.0,납땜을 만들 필요가 있다,로우ダイ를 만들야 하는 거다,4.94,False,0.10900000017136335
7112_25922_170.00_172.00,게임,normal,False,2.0,숙제와 양초와 성냥을 조합하면 만들 수 있다,"[TEXT TO TRANSLATE]

宿題과 로우소크와 매치를 조합하면 만들 수 있다.

(Note: The translation is written entirely in Hangul, as per the guidelines.)",23.51,True,0.375
7112_25922_175.00_176.00,게임,normal,False,1.0,촛불이 없어지면 불이 꺼진다,불이 꺼진다,37.36,False,0.06299999984912574
7112_25922_180.00_181.00,게임,normal,False,1.0,불붙은 숙제와 촛불을 조합하면,불의 꽂힌 숙제와 로우소를 조합하면,22.95,False,0.1559999999590218
7112_25922_186.00_188.00,게임,normal,False,2.0,불붙은 숙제를 가지고 있는 사람 근처에 있는 사람도,화의ついた숙제를 가지고 있는 사람의 근처에 있는 사람도,63.93,False,0.1720000000204891
7112_25922_194.00_195.00,게임,normal,False,1.0,저 3개 가지고 있으니까 이제 그럼,나가서 하나둘씩 확인해야지.,1.81,False,0.10900000017136335
