seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,ピッ!,1.0,0.0,0.0,0.0,0.7349999999860302
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,プリン。,1.0,0.0,0.0,0.0,0.26500000001396984
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,ピッ!,0.9643,1.09,0.01,0.0645,0.375
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,ピッ!,0.9615,1.17,0.01,0.069,0.39099999994505197
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,うん。,0.9286,2.87,0.12,0.125,0.2190000000409782
7112_25922_10.00_12.00,게임,2.0,いや分かんないでも道あるよ,でも道あるの?,0.6923,20.84,26.09,0.5,0.25
7112_25922_108.00_110.00,게임,2.0,ふざけんなってマジでほんとに,ふざけんなって。,0.5,36.94,36.79,0.6667,0.1720000000204891
7112_25922_110.00_113.00,게임,3.0,夜の学校はホラーの定番だよね,本当に。,1.0,0.0,0.0,0.0,0.23400000005494803
7112_25922_120.00_121.00,게임,1.0,ロウソクゲージみたいなのある,みたいな。,0.7143,18.46,8.21,0.4444,0.1559999999590218
7112_25922_123.00_124.00,게임,1.0,ちょっと待ってロウソクがあるの,があるの?,0.8,14.03,9.05,0.4,0.14000000001396984
7112_25922_127.00_129.00,게임,2.0,これ離ればられになったら終わりよ,これ離れ離れになったら終わりよ。,0.125,57.4,74.87,0.9032,0.1720000000204891
7112_25922_135.00_136.00,게임,1.0,じゃあロウソク全部俺が預かるから,俺が預かる。,0.6875,20.42,11.08,0.4762,0.14099999994505197
7112_25922_146.00_148.00,게임,2.0,取扱説明書に2冊取られなかった今,取りあえず回線食べ将棋2冊。,0.9375,3.78,5.43,0.2069,0.17099999997299165
