seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,うん。,1.0,0.0,0.0,0.0,1.4209999999729916
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,うん。,1.0,0.0,0.0,0.0,0.1410000000614673
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,うん。,1.0,0.0,0.0,0.0,0.10899999993853271
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,うん。,0.9615,1.57,0.0,0.0714,0.1410000000614673
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,うん。,0.9286,2.87,0.12,0.125,0.1559999999590218
7112_25922_10.00_12.00,게임,2.0,いや分かんないでも道あるよ,いやわかんないでも見ちゃう。,0.3846,30.37,42.8,0.6154,0.31299999996554106
7112_25922_108.00_110.00,게임,2.0,ふざけんなってマジでほんとに,うざっくんだって。,0.7857,5.68,6.2,0.3636,0.25
7112_25922_110.00_113.00,게임,3.0,夜の学校はホラーの定番だよね,なんか夜の学校はホラーの,0.5714,49.32,60.13,0.6923,0.28100000007543713
7112_25922_120.00_121.00,게임,1.0,ロウソクゲージみたいなのある,なんかロースクーヘン字みたいある。,0.7857,13.28,13.26,0.5333,0.2970000000204891
7112_25922_123.00_124.00,게임,1.0,ちょっと待ってロウソクがあるの,で老卒が案,0.9333,1.28,1.45,0.1,0.1869999999180436
7112_25922_127.00_129.00,게임,2.0,これ離ればられになったら終わりよ,これ離れ離れになったら終わりよ。,0.125,57.4,74.87,0.9032,0.2339999999385327
7112_25922_135.00_136.00,게임,1.0,じゃあロウソク全部俺が預かるから,もうすぐ全部俺が預かる。,0.5625,29.82,36.22,0.5185,0.2660000000614673
7112_25922_146.00_148.00,게임,2.0,取扱説明書に2冊取られなかった今,これや対説明書に二冊を。,0.8125,12.17,16.48,0.3704,0.39099999994505197
7112_25922_152.00_154.00,게임,2.0,ちょっと読み上げて読み上げて,あ、ちょっと読みって。,0.5714,28.12,35.03,0.6087,0.18700000003445894
