seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25921_45.76_52.76,게임,normal,False,7.0,찬찬히 찾고 있는 수의사도 돌아와서 응시한다,yyynnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,0.0,True,7.155999999959022
7112_25921_52.76_59.76,게임,normal,False,7.0,고양이 배송까지 꽤 마음에 드는 그림이 되었다,wjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwj,0.0,True,6.452999999979511
7112_25921_78.40_85.02,게임,normal,False,6.61999999999999,덧붙여서 작은 프레쉬는 보이는 소리를 혼자 듣고 있기 때문에,v j ns y jsyysyyssss yysysysyssss yysysysssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,0.0,True,6.141000000061467
7112_25921_85.66_94.10,게임,normal,False,8.439999999999998,알아보세요 permits 프레쉬부터 읽어보세요.,u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.u.,3.4,True,6.718000000109896
7112_25921_94.90_101.24,게임,normal,False,6.339999999999989,"붉은기는, 또, 능력이라고 할까 의식이...",sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss sss ss,0.0,True,6.2189999998081475
7112_25922_10.00_12.00,게임,normal,False,2.0,아니 몰라도 길이 있어,yssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,0.0,True,6.1560000001918525
7112_25922_108.00_110.00,게임,normal,False,2.0,장난꾸러기라니 정말 정말 정말로,ößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößößö,0.0,False,6.187999999849126
7112_25922_110.00_113.00,게임,normal,False,3.0,밤의 학교는 공포의 정석이지.,wjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwjwj,0.0,True,6.030999999959022
7112_25922_120.00_121.00,게임,normal,False,1.0,촛불 게이지 같은 거 있어,'tyou're not alone'tyou're not alone'tyou're not alone'tyou're not alone'tyou're not alone'tyou're not alone'tyou're not alone'tyou're not alone'tyou're not alone'tyou're not alone,0.0,True,2.452999999979511
7112_25922_123.00_124.00,게임,normal,False,1.0,잠깐만 촛불이 있어,n jssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,0.0,True,5.844000000040978
7112_25922_127.00_129.00,게임,normal,False,2.0,이거 헤어지면 끝이야,1999. (incl. Biblioteka),0.0,True,0.5779999999795109
