seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,thank you,1.0,0.0,0.0,0.0,0.5940000000409782
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,thank you,1.0,0.0,0.0,0.0,0.10900000005494803
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,thank you,1.0,0.0,0.0,0.0,0.10900000005494803
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,thank you,0.9615,0.64,0.58,0.0588,0.14099999994505197
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,thank you,1.0,0.0,0.0,0.0,0.10999999998603016
7112_25922_10.00_12.00,게임,2.0,いや分かんないでも道あるよ,これは分かんないでも道あるんだよ,0.3846,58.29,59.69,0.7586,0.46799999999348074
7112_25922_108.00_110.00,게임,2.0,ふざけんなってマジでほんとに,you don't get nothing,1.2857,0.0,0.0,0.0,0.2029999999795109
7112_25922_110.00_113.00,게임,3.0,夜の学校はホラーの定番だよね,夜の学校はホラーの,0.3571,52.24,57.38,0.7826,0.4220000000204891
7112_25922_120.00_121.00,게임,1.0,ロウソクゲージみたいなのある,ローストケーキ自体の,0.7857,3.25,3.7,0.25,0.3279999999795109
7112_25922_123.00_124.00,게임,1.0,ちょっと待ってロウソクがあるの,ロー速度があるんだ,0.8,7.58,9.79,0.3333,0.3130000000819564
7112_25922_127.00_129.00,게임,2.0,これ離ればられになったら終わりよ,これ離れ離れになったら終わりよ,0.125,57.4,74.87,0.9032,0.515999999945052
7112_25922_135.00_136.00,게임,1.0,じゃあロウソク全部俺が預かるから,全然俺が,0.8125,6.0,1.76,0.3,0.2029999999795109
7112_25922_146.00_148.00,게임,2.0,取扱説明書に2冊取られなかった今,取扱説明書に2冊,0.5,38.75,36.79,0.6667,0.375
7112_25922_152.00_154.00,게임,2.0,ちょっと読み上げて読み上げて,ちょっと呼び合いってことは,0.7143,12.27,18.93,0.3704,0.5470000000204891
7112_25922_156.00_157.00,게임,1.0,待ってマッチいるって俺も,ちょっとバッチリいってる俺も,0.5833,14.13,10.89,0.6154,0.4529999999795109
7112_25922_16.00_18.00,게임,2.0,あー!サムさん蹴ったでしょ!,ああサムさん決退しろ,0.5714,13.96,19.49,0.5,0.34299999999348074
7112_25922_161.00_162.00,게임,1.0,火のついたロウソクを作る,続いたろうそくを使う,0.75,5.04,7.6,0.2727,0.35999999998603016
7112_25922_163.00_164.00,게임,1.0,ロウダイを作る必要がある,作る必要がある,0.4167,43.83,48.95,0.7368,0.25
7112_25922_170.00_172.00,게임,2.0,宿題とロウソクとマッチを組み合わせたら作れる,宿題とろうそくとマッチを組み合わせた,0.3636,42.75,52.37,0.7,0.625
7112_25922_175.00_176.00,게임,1.0,ロウソクがなくなれば火が消える,ローソクがなくなれば,0.4,41.03,47.46,0.72,0.35900000005494803
7112_25922_180.00_181.00,게임,1.0,火のついた宿題とロウソクを組み合わせたら,白のついた宿題とサイド,0.65,23.85,25.18,0.4516,0.515999999945052
7112_25922_186.00_188.00,게임,2.0,火のついた宿題を持っている人の近くにいる人も,気の付いた宿題を持っている人の近くに,0.2727,57.73,66.5,0.8,0.5780000000959262
7112_25922_194.00_195.00,게임,1.0,あの3つ持ってるからもうじゃあ,3つ持ってるから,0.4667,41.53,41.69,0.6957,0.21899999992456287
7112_25922_198.00_203.00,게임,5.0,あ、であのレシピあるやん今手に入ってるあの緑のレシピを使って,あれあのレシピレシピあるやん今手に入ってるあの緑の緑のレシピ,0.3448,62.72,76.2,0.8136,0.9060000000754371
7112_25922_2.00_4.00,게임,2.0,なんかガサガサガサガサって,ガサガサガサガサって,0.2308,64.32,74.08,0.8696,0.4219999999040738
7112_25922_204.00_206.00,게임,2.0,あのー右クリックで使って,右クリックで使って,0.25,61.75,71.65,0.8571,0.25
7112_25922_206.00_208.00,게임,2.0,その3つを組み合わせたら,その3つを,0.5833,27.76,24.66,0.5882,0.15700000000651926
7112_25922_208.00_210.00,게임,2.0,あ、宿題持ってないの?宿題俺が持ってるんだ,組み合わせたらああ宿題宿題持ってないん,0.75,26.88,36.83,0.4615,0.7029999999795109
7112_25922_221.00_222.00,게임,1.0,オッケーオッケーオッケーオッケー,okay okay okay okay,1.0,0.0,0.0,0.0,0.18700000003445894
7112_25922_222.00_223.00,게임,1.0,じゃあロウソクも渡しておくわ,okay,1.0,0.0,0.0,0.0,0.0779999999795109
1352_5491_0.03_4.10,여행,4.068087542139571,ライブ配信をしたいなとということで、もう、金曜日の夜なんでね。,ライブ配信をしたいなと思いますということであのもう金曜日の夜なんでね,0.2143,65.02,71.6,0.9032,0.9220000000204891
1352_5491_107.00_109.00,여행,2.0,マンペーの声小っちゃいってきたな。,海辺の声ちっちゃいってきたなぁ,0.375,43.92,55.84,0.7097,0.5309999999590218
1352_5491_113.00_115.00,여행,2.0,ピンマイクみたいなのを買わなかった？,これビーフマイクみたいなのダメだからな,0.6667,30.92,38.76,0.4865,0.5
1352_5491_117.00_119.00,여행,2.0,1件しか来てないから多分大丈夫だと思う。,一見しかしてないから多分大丈夫だと思う,0.1579,61.75,75.09,0.8421,0.5629999999655411
1352_5491_119.00_121.00,여행,2.0047615183328418,ピンマイクあれ、（なんぼ）/（いくら）するんやろうなあ？,今までになんぼすんねんやろな。,0.7407,8.4,7.55,0.3902,0.48400000005494803
1352_5491_121.00_123.00,여행,2.0,4、5千円くらいじゃない？,4万5000円ぐらいじゃない,0.5,32.02,38.72,0.6923,0.4059999999590218
1352_5491_124.99_132.28,여행,7.284133496834002,あっ、信号が青なので渡りたいの。信号が青だから。,あっそんな青なのね,0.7619,7.14,5.88,0.3333,0.35999999998603016
1352_5491_132.27_135.94,여행,3.6667653481756304,渡れます。明るいですね。,明るいですね,0.4,42.14,51.34,0.75,0.2029999999795109
1352_5491_135.94_141.00,여행,5.065358024532827,えーとー、2時間の近く、バンコクは信号が青の時に渡ればね。,南国は信号が青の時に渡れます,0.6154,30.12,28.72,0.5,0.5
1352_5491_139.00_141.00,여행,2.0,バンコクは信号が青の時に渡れば。,今後が青の時には誰も,0.6667,18.12,24.94,0.4,0.4059999999590218
1352_5491_141.00_147.00,여행,5.994286933888958,情報薄くないですか？さっきから。なんか、木とか、いろんな人歩いてるとか。,情報少ない先からなんかキーとかいろんな人歩いてるとか,0.3438,41.71,52.1,0.7586,0.8279999999795109
1352_5491_148.13_150.10,여행,1.9700035681359225,あの、バンコクは情報です。,あの韓国は,0.7273,7.0,7.12,0.375,0.25
1352_5491_150.59_153.00,여행,2.409951235309478,いろんなことが、だからすごいおもしろい。,come on,1.0,0.0,0.0,0.0,0.10999999998603016
1352_5491_156.49_159.00,여행,2.50993934148255,でもバンコク、タイは最後です。,なんか回は最後です,0.6154,20.02,28.62,0.4545,0.2660000000614673
1352_5491_161.00_163.50,여행,2.4999405309000053,スポットヤムクンが美味しいです。,what happened to the dog,1.3333,0.0,0.0,0.0,0.2029999999795109
1352_5491_164.81_171.40,여행,6.589454073328795,あとはナナプラザっていうところに今からちょっとに行こうと思うんですけど、ナナプラザは楽園です。,7プラザというところに今からちょっとだいぶあいだけね行こうと思うんですけど,0.5556,42.25,51.42,0.6585,1.1089999999385327
1352_5491_17.01_21.00,여행,3.989525415577887,名物のグッズ、これは何やら（やっぱ）/（やはり）ね、たくさんありますね。,これは何やらやっぱねたくさんありますね,0.4242,36.42,38.64,0.7308,0.5629999999655411
