seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,ピッ!,1.0,0.0,0.0,0.0,2.9690000000118744
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,ピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポンピンポン!,3.65,0.0,0.0,0.0,3.89000000001397
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,ピッ!,0.9643,1.09,0.01,0.0645,3.625
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,ピッ!,0.9615,1.17,0.01,0.069,2.4839999999967404
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,ピッ!,1.0,0.0,0.0,0.0,3.0160000000032596
7112_25922_10.00_12.00,게임,2.0,いや分かんないでも道あるよ,いや分かんないでも道あるもん。,0.1538,75.85,83.86,0.8889,2.1719999999913853
7112_25922_108.00_110.00,게임,2.0,ふざけんなってマジでほんとに,ふざけんなって!,0.5,36.15,39.72,0.6364,2.0780000000086147
7112_25922_110.00_113.00,게임,3.0,夜の学校はホラーの定番だよね,夜の学校はホラーの。,0.3571,52.24,57.38,0.7826,2.047000000020489
7112_25922_120.00_121.00,게임,1.0,ロウソクゲージみたいなのある,ローソクゲージみたいなのあるんで。,0.2143,69.06,73.68,0.8667,1.7650000000139698
7112_25922_123.00_124.00,게임,1.0,ちょっと待ってロウソクがあるの,ろうそくがあんの?,0.8667,4.22,5.42,0.25,1.812999999994645
7112_25922_127.00_129.00,게임,2.0,これ離ればられになったら終わりよ,これ離れ離れになったら終わりよ。,0.125,57.4,74.87,0.9032,2.2810000000172295
7112_25922_135.00_136.00,게임,1.0,じゃあロウソク全部俺が預かるから,校則全部おれがあずかった。,0.875,5.71,6.1,0.2857,1.937999999994645
7112_25922_146.00_148.00,게임,2.0,取扱説明書に2冊取られなかった今,とりあえず解説びしょに2だったの?,0.9375,6.29,6.84,0.303,2.25
7112_25922_152.00_154.00,게임,2.0,ちょっと読み上げて読み上げて,いや1個は。,1.0,0.0,0.0,0.0,3.264999999984866
7112_25922_156.00_157.00,게임,1.0,待ってマッチいるって俺も,じゃあバチいるって俺も。,0.4167,39.89,52.11,0.6087,3.3589999999967404
7112_25922_16.00_18.00,게임,2.0,あー!サムさん蹴ったでしょ!,あサボさんけったいした!,0.4286,15.6,9.64,0.6154,2.7969999999913853
7112_25922_161.00_162.00,게임,1.0,火のついたロウソクを作る,ついたろうそくを作って。,0.6667,11.48,16.02,0.4348,1.7810000000172295
7112_25922_163.00_164.00,게임,1.0,ロウダイを作る必要がある,来る必要がある。,0.5,33.23,39.61,0.6316,1.75
7112_25922_170.00_172.00,게임,2.0,宿題とロウソクとマッチを組み合わせたら作れる,宿題とろうそくとマッチを組み合わせた。,0.3636,42.75,52.37,0.7,2.139999999984866
7112_25922_175.00_176.00,게임,1.0,ロウソクがなくなれば火が消える,ろうそくがなくなればちがう。,0.5333,24.52,33.91,0.5,1.9070000000065193
