seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25921_45.76_52.76,게임,normal,False,7.0,찬찬히 찾고 있는 수의사도 돌아와서 응시한다,꼼꼼하게 찾고 있는 수의사도 돌아와서 뚫어져라 쳐다보네,56.31,False,0.8589999999385327
7112_25921_52.76_59.76,게임,normal,False,7.0,고양이 배송까지 꽤 마음에 드는 그림이 되었다,고양이 배송까지 꽤 마음에 드는 그림이 됐어.,81.76,False,0.5
7112_25921_78.40_85.02,게임,normal,False,6.61999999999999,덧붙여서 작은 프레쉬는 보이는 소리를 혼자 듣고 있기 때문에,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,0.0,False,0.48400000017136335
7112_25921_85.66_94.10,게임,normal,False,8.439999999999998,알아보세요 permits 프레쉬부터 읽어보세요.,음... 프레쉬에서 읽어보라고요?,10.87,False,0.4220000000204891
7112_25921_94.90_101.24,게임,normal,False,6.339999999999989,"붉은기는, 또, 능력이라고 할까 의식이...","빨개짐은, 또, 능력이라고 할까 의식이…",61.76,False,0.4529999999795109
7112_25922_10.00_12.00,게임,normal,False,2.0,아니 몰라도 길이 있어,음... 잘 모르겠는데 길은 있어.,7.75,False,0.375
7112_25922_108.00_110.00,게임,normal,False,2.0,장난꾸러기라니 정말 정말 정말로,"헐, 진짜 진짜.",0.0,False,0.26599999982863665
7112_25922_110.00_113.00,게임,normal,False,3.0,밤의 학교는 공포의 정석이지.,밤에 학교는 진짜 무서운 소재지.,14.69,False,0.375
7112_25922_120.00_121.00,게임,normal,False,1.0,촛불 게이지 같은 거 있어,양초 게이지 같은 거 있잖아.,54.26,False,0.3130000000819564
7112_25922_123.00_124.00,게임,normal,False,1.0,잠깐만 촛불이 있어,"잠깐만, 초가 있네.",15.34,False,0.3119999999180436
7112_25922_127.00_129.00,게임,normal,False,2.0,이거 헤어지면 끝이야,これらが離ればなれになったら終わりよ,0.0,False,0.3440000000409782
7112_25922_135.00_136.00,게임,normal,False,1.0,그럼 촛불 다 내가 맡을 테니까,음... 내가 촛불 다 맡을 테니까.,40.64,False,0.3589999999385327
7112_25922_146.00_148.00,게임,normal,False,2.0,사용설명서에 2권 뺏기지 않은 지금,取扱説明書に2冊取られなかった今,0.94,False,0.32800000021234155
7112_25922_152.00_154.00,게임,normal,False,2.0,좀 읽어보고 읽어보고,조금 읽어주고 읽어줘.,13.1,False,0.29699999978765845
7112_25922_156.00_157.00,게임,normal,False,1.0,기다려 매치하고 있다고 나도,"기다려, 매치가 필요하다고 나도.",26.93,False,0.32800000021234155
7112_25922_16.00_18.00,게임,normal,False,2.0,아! 샘 형 찼지!,아ー! 쌈님 차셨죠!,9.45,False,0.31299999984912574
7112_25922_161.00_162.00,게임,normal,False,1.0,불붙은 촛불을 만들다,불 붙은 양초를 만들어요.,12.8,False,0.31200000015087426
7112_25922_163.00_164.00,게임,normal,False,1.0,납땜을 만들 필요가 있다,로다이를 만들어야 해.,5.14,False,0.26599999982863665
7112_25922_170.00_172.00,게임,normal,False,2.0,숙제와 양초와 성냥을 조합하면 만들 수 있다,숙제랑 촛불이랑 성냥만 있으면 만들 수 있어.,20.87,False,0.3910000000614673
7112_25922_175.00_176.00,게임,normal,False,1.0,촛불이 없어지면 불이 꺼진다,양초가 없어지면 불이 꺼져.,44.11,False,0.3279999999795109
7112_25922_180.00_181.00,게임,normal,False,1.0,불붙은 숙제와 촛불을 조합하면,불붙은 숙제랑 촛불을 합쳐버렸어.,28.52,False,0.4059999999590218
7112_25922_186.00_188.00,게임,normal,False,2.0,불붙은 숙제를 가지고 있는 사람 근처에 있는 사람도,불붙은 숙제를 가진 사람 옆에 있는 사람도,46.39,False,0.35900000017136335
7112_25922_194.00_195.00,게임,normal,False,1.0,저 3개 가지고 있으니까 이제 그럼,음... 그거 3개 가지고 있으니까.,51.97,False,0.31299999984912574
7112_25922_198.00_203.00,게임,normal,False,5.0,아 근데 그 레시피 있잖아 지금 구할 수 있는 저 초록색 레시피를 사용해서,"아, 있잖아, 그 레시피 있잖아, 지금 손에 있는 저 녹색 레시피로 할 거야.",30.77,False,0.5470000000204891
7112_25922_2.00_4.00,게임,normal,False,2.0,뭔가 바스락바스락하고,뭔가 사사삭사사삭거려.,9.53,False,0.3279999999795109
7112_25922_204.00_206.00,게임,normal,False,2.0,저기 우클릭으로 사용해서,음... 오른쪽 클릭으로 써.,12.14,False,0.26500000013038516
7112_25922_206.00_208.00,게임,normal,False,2.0,그 세 가지를 조합하면,그 세 가지를 합치면,46.53,False,0.25
7112_25922_208.00_210.00,게임,normal,False,2.0,아 숙제 없어? 숙제 내가 가지고 있구나.,"아, 숙제 안 가져왔어? 숙제 내가 들고 있잖아.",34.07,False,0.43799999984912574
7112_25922_221.00_222.00,게임,normal,False,1.0,오케이 오케이 오케이 오케이,알았어 알았어 알았어 알았어,0.0,False,0.3279999999795109
7112_25922_222.00_223.00,게임,normal,False,1.0,그럼 촛불도 건네놓을게,"응, 양초도 챙겨 놓을게.",9.14,False,0.35900000017136335
8407_40837_0.00_15.28,"음식,요리",normal,False,15.28,오늘은 거의 잊지 않았던 증기가스 패키지를 소개하겠습니다.,"今日は 거의 다 기억하고 있어, 스팀 가스 패키지를 소개할게.",25.05,False,0.43799999984912574
8407_40837_106.28_108.28,"음식,요리",normal,False,2.0,"이런, 아저씨 고마워요","어머, 오부상 감사합니다.",4.18,False,0.31200000015087426
8407_40837_108.28_114.28,"음식,요리",normal,False,6.0,"오랜만에 초밥이야, 얼마만이야?반년정도? 정말 오랜만이야.","오랜만에 스시잖아, 얼마나 됐지? 반년 정도? 진짜 오랜만이야.",36.28,False,0.46899999980814755
8407_40837_116.28_119.28,"음식,요리",normal,False,3.0,"라이브 첫 참전, 닛세이씨, 좋아요이","라이브 첫 참전, 히소세さん, 요이요이요이",42.98,False,0.40600000019185245
8407_40837_120.28_122.28,"음식,요리",normal,False,2.0,"토모씨 고마워요, 만명","토모상, 고마워, 만 명.",22.45,False,0.31299999984912574
8407_40837_129.28_138.28,"음식,요리",normal,False,9.0,"안녕하세요, 아슈아슈씨","안녕하세요, 아슈아슈 씨.",86.22,False,0.2660000000614673
8407_40837_171.28_178.28,"음식,요리",normal,False,7.0,30접시가 초밥이고 10접시가 디저트,"30인분은 스시이고, 10인분은 디저트야.",11.67,False,0.4529999999795109
